,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,WEEKDAY_APPR_PROCESS_START,ORGANIZATION_TYPE,FONDKAPREMONT_MODE,HOUSETYPE_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE
7839,0,90000.0,522396.0,29299.5,472500.0,0.025164,-18225,-3696,-8211.0,-1760,7.0,1,1,0,1,0,0,2.0,2,2,10,0,0,0,0,0,0,0.7275717539490862,0.4320826242437069,0.5779691187553125,0.0186,0.0364,0.9866,0.8164,0.0,0.0,0.069,0.0833,0.0417,0.0066,0.0151,0.0166,0.0,0.0284,0.0189,0.0377,0.9866,0.8236,0.0,0.0,0.069,0.0833,0.0417,0.0067,0.0165,0.0173,0.0,0.0301,0.0187,0.0364,0.9866,0.8189,0.0,0.0,0.069,0.0833,0.0417,0.0067,0.0154,0.0169,0.0,0.029,0.0192,1.0,0.0,1.0,0.0,-1883.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,6,1,4,1,1,8,0,5,3,0,4,0
7842,0,108000.0,252000.0,12253.5,252000.0,0.018029,-18953,-6435,-2844.0,-2508,27.0,1,1,1,1,1,0,1.0,3,2,5,0,0,0,0,0,0,0.4293407349835901,0.565950682526427,0.6940926425266661,0.067,0.0594,0.9757,0.6668,0.0069999999999999,0.0,0.1379,0.1667,0.2083,0.0563,0.0538,0.051,0.0039,0.0526,0.0683,0.0617,0.9757,0.6798,0.0071,0.0,0.1379,0.1667,0.2083,0.0575,0.0588,0.0532,0.0039,0.0556,0.0677,0.0594,0.9757,0.6713,0.0069999999999999,0.0,0.1379,0.1667,0.2083,0.0572,0.0547,0.0519,0.0039,0.0537,0.0568,0.0,0.0,0.0,0.0,-904.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,1,6,2,2,3,1,8,0,5,2,0,5,0
7900,0,270000.0,270000.0,29209.5,270000.0,0.010006,-8896,-1436,-8865.0,-1546,4.0,1,1,1,1,1,0,2.0,2,2,10,0,0,0,0,0,0,0.3915804437635945,0.3352693250771101,0.3807996826489149,0.0876,0.1254,0.9841,0.7824,0.0272,0.0,0.2069,0.1667,0.2083,0.0431,0.0714,0.1012,0.0,0.0,0.0893,0.1301,0.9841,0.7909,0.0274,0.0,0.2069,0.1667,0.2083,0.0441,0.0781,0.1055,0.0,0.0,0.0885,0.1254,0.9841,0.7853,0.0274,0.0,0.2069,0.1667,0.2083,0.0439,0.0727,0.1031,0.0,0.0,0.0796,0.0,0.0,0.0,0.0,-664.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,6,2,1,1,1,10,4,3,2,0,4,0
7905,0,675000.0,1971072.0,68512.5,1800000.0,0.031329,-13360,-1864,-430.0,-3858,1.0,1,1,1,1,0,1,2.0,2,2,9,0,0,0,0,0,0,0.3144522022208172,0.6042251771479799,0.2512394458905693,0.099,0.0888,0.9762,0.6736,0.0098,0.0,0.1724,0.1667,0.2083,0.1298,0.0799,0.0834,0.0039,0.0252,0.1008,0.0922,0.9762,0.6864,0.0099,0.0,0.1724,0.1667,0.2083,0.1328,0.0872,0.0869,0.0039,0.0266,0.0999,0.0888,0.9762,0.6779999999999999,0.0099,0.0,0.1724,0.1667,0.2083,0.1321,0.0812,0.0849,0.0039,0.0257,0.0765,2.0,1.0,2.0,1.0,-477.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,7.0,0,0,0,0,1,0,1,1,1,10,0,5,2,0,0,0
7912,0,675000.0,1800000.0,173574.0,1800000.0,0.072508,-14315,-867,-8324.0,-3922,1.0,1,1,1,1,1,0,2.0,1,1,11,0,0,0,0,0,0,0.6509512970629299,0.6715365950254448,0.6296742509538716,0.1227,0.0538,0.997,0.9592,0.0724,0.16,0.069,0.6667,0.7083,0.0681,0.0933,0.1192,0.0309,0.0955,0.125,0.0558,0.997,0.9608,0.073,0.1611,0.069,0.6667,0.7083,0.0696,0.1019,0.1241,0.0311,0.1011,0.1239,0.0538,0.997,0.9597,0.0728,0.16,0.069,0.6667,0.7083,0.0693,0.0949,0.1213,0.0311,0.0975,0.1145,0.0,0.0,0.0,0.0,-2539.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,6,0,2,1,1,10,4,5,2,0,2,0
7915,2,157500.0,369720.0,27031.5,292500.0,0.031329,-11805,-215,-2498.0,-186,9.0,1,1,0,1,0,0,4.0,2,2,12,0,0,0,0,0,0,0.677394387479879,0.6590033407363417,0.248535557339522,0.0619,0.0528,0.9831,0.7688,0.0091,0.0,0.1379,0.1667,0.2083,0.0478,0.0504,0.0556,0.0,0.0,0.063,0.0548,0.9831,0.7779,0.0092,0.0,0.1379,0.1667,0.2083,0.0489,0.0551,0.0579,0.0,0.0,0.0625,0.0528,0.9831,0.7719,0.0091,0.0,0.1379,0.1667,0.2083,0.0486,0.0513,0.0566,0.0,0.0,0.0487,2.0,0.0,2.0,0.0,-240.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,1,2,1,1,1,10,1,10,3,0,5,0
7995,0,441000.0,2013840.0,62640.0,1800000.0,0.0196889999999999,-13323,-1502,-1524.0,-4988,9.0,1,1,1,1,1,1,2.0,2,2,13,0,0,0,0,0,0,0.6456446222264219,0.6095673410238347,0.5656079814115492,0.1485,0.1335,0.9806,0.7348,0.0369,0.16,0.1379,0.3333,0.375,0.1002,0.121,0.1523,0.0,0.0,0.1513,0.1385,0.9806,0.7452,0.0373,0.1611,0.1379,0.3333,0.375,0.1025,0.1322,0.1587,0.0,0.0,0.1499,0.1335,0.9806,0.7383,0.0372,0.16,0.1379,0.3333,0.375,0.102,0.1231,0.1551,0.0,0.0,0.14,1.0,0.0,1.0,0.0,-1794.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,1,6,0,1,1,1,10,5,5,3,0,4,0
8023,1,225000.0,225000.0,24232.5,225000.0,0.025164,-10046,-2379,-1099.0,-2534,65.0,1,1,0,1,0,1,3.0,2,2,12,0,0,0,0,0,0,0.4185044519280035,0.6578672879033806,0.5814837058057234,0.0247,0.0455,0.9871,0.8232,0.0002,0.0,0.1379,0.0417,0.0417,0.0304,0.0202,0.0242,0.0,0.0,0.0252,0.0473,0.9871,0.8301,0.0002,0.0,0.1379,0.0417,0.0417,0.031,0.022,0.0253,0.0,0.0,0.025,0.0455,0.9871,0.8256,0.0002,0.0,0.1379,0.0417,0.0417,0.0309,0.0205,0.0247,0.0,0.0,0.0192,1.0,0.0,1.0,0.0,-1396.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,6,0,4,1,1,8,0,5,2,0,4,0
8048,1,157500.0,341280.0,24961.5,270000.0,0.020246,-15681,-426,-4806.0,-4752,15.0,1,1,0,1,1,0,3.0,3,3,6,0,0,0,0,0,0,0.6240410713536516,0.3854309566580403,0.2539628093363117,0.1669999999999999,0.1371,0.9891,0.8504,0.0377,0.2,0.1724,0.375,0.4167,0.0938,0.1362,0.199,0.0,0.0,0.1702,0.1423,0.9891,0.8563,0.0381,0.2014,0.1724,0.375,0.4167,0.096,0.1488,0.2073,0.0,0.0,0.1686,0.1371,0.9891,0.8524,0.038,0.2,0.1724,0.375,0.4167,0.0955,0.1385,0.2026,0.0,0.0,0.1771,2.0,0.0,2.0,0.0,-1987.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,6,2,4,1,1,16,1,36,2,0,4,0
8155,0,180000.0,301464.0,17437.5,238500.0,0.035792,-16300,-9426,-1008.0,-4773,11.0,1,1,0,1,0,0,2.0,2,2,10,0,0,0,0,1,1,0.3474808377968532,0.4947647888795022,0.2431864804420123,0.3227,0.0,0.9975,0.966,0.1562,0.4,0.1724,0.625,0.5,0.1565,0.2471,0.3463,0.0734,0.1792,0.3288,0.0,0.9975,0.9673,0.1576,0.4028,0.1724,0.625,0.5,0.1601,0.27,0.3608,0.0739,0.1897,0.3258,0.0,0.9975,0.9665,0.1572,0.4,0.1724,0.625,0.5,0.1592,0.2514,0.3525,0.0738,0.183,0.3967,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,6,1,4,1,2,8,5,28,2,0,0,0
8174,2,225000.0,1661418.0,51700.5,1485000.0,0.020713,-14641,-4798,-8780.0,-5626,5.0,1,1,0,1,0,0,4.0,3,2,7,0,0,0,0,0,0,0.6893076319370389,0.4303127109763776,0.190705947811054,0.0216,0.049,0.9702,0.5920000000000001,0.0296,0.0,0.069,0.0417,0.0833,0.0012,0.0177,0.0271,0.0,0.0,0.0221,0.0509,0.9702,0.608,0.0299,0.0,0.069,0.0417,0.0833,0.0013,0.0193,0.0283,0.0,0.0,0.0219,0.049,0.9702,0.5975,0.0298,0.0,0.069,0.0417,0.0833,0.0012,0.018,0.0276,0.0,0.0,0.0214,1.0,0.0,1.0,0.0,-472.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6.0,0,0,0,1,6,2,4,1,1,0,4,38,2,0,5,0
8177,0,270000.0,1024740.0,55719.0,900000.0,0.04622,-10010,-1357,-4661.0,-2661,10.0,1,1,0,1,0,1,2.0,1,1,13,0,0,0,0,0,0,0.4558344822481854,0.6905752929243884,0.6313545365850379,0.0124,0.0,0.9692,0.5784,0.0222,0.0,0.069,0.0417,0.0833,0.0479,0.0101,0.0141,0.0,0.0049,0.0126,0.0,0.9692,0.5949,0.0224,0.0,0.069,0.0417,0.0833,0.049,0.011,0.0147,0.0,0.0052,0.0125,0.0,0.9692,0.584,0.0223,0.0,0.069,0.0417,0.0833,0.0487,0.0103,0.0143,0.0,0.005,0.0121,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,1,0,1,6,1,1,1,1,3,6,35,3,0,0,0
8202,1,157500.0,648000.0,33214.5,648000.0,0.026392,-14698,-5267,-4151.0,-4929,13.0,1,1,0,1,1,1,3.0,2,2,12,0,0,0,0,0,0,0.7546905323420235,0.7384927235241486,0.3672910183026313,0.1247,0.0709,0.993,0.9048,0.0726,0.12,0.1034,0.375,0.4167,0.1255,0.1009,0.1324,0.0039,0.0014,0.1271,0.0735,0.993,0.9085,0.0733,0.1208,0.1034,0.375,0.4167,0.1283,0.1102,0.1379,0.0039,0.0015,0.126,0.0709,0.993,0.9061,0.0731,0.12,0.1034,0.375,0.4167,0.1276,0.1026,0.1348,0.0039,0.0015,0.1232,1.0,1.0,1.0,1.0,-1380.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,6,2,1,1,1,3,4,30,2,0,4,0
8217,1,225000.0,900000.0,43429.5,900000.0,0.010006,-14116,-56,-432.0,-2134,3.0,1,1,0,1,0,0,3.0,2,1,16,0,0,0,0,0,0,0.2863186427179923,0.7175968887024702,0.6658549219640212,0.1036,0.1297,0.9836,0.7756,0.0145,0.0,0.2414,0.1667,0.2083,0.1279,0.042,0.1078,0.0077,0.0234,0.0546,0.0777,0.9826,0.7713,0.0146,0.0,0.1379,0.1667,0.2083,0.0819999999999999,0.0459,0.0653,0.0078,0.0248,0.1046,0.1297,0.9836,0.7786,0.0145,0.0,0.2414,0.1667,0.2083,0.1301,0.0428,0.1098,0.0078,0.0239,0.0643,5.0,0.0,5.0,0.0,-998.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,6,2,4,1,1,9,6,23,2,0,4,0
8231,0,198000.0,1350000.0,55714.5,1350000.0,0.020713,-19322,-7251,-6353.0,-2866,4.0,1,1,1,1,0,0,2.0,3,3,15,0,0,0,0,0,0,0.7346440911563652,0.6875204515233301,0.3791004853998145,0.0928,0.0986,0.9866,0.8164,0.0121,0.0,0.2069,0.1667,0.2083,0.0445,0.0756,0.0873,0.0,0.0,0.0945,0.1023,0.9866,0.8236,0.0122,0.0,0.2069,0.1667,0.2083,0.0455,0.0826,0.0909,0.0,0.0,0.0937,0.0986,0.9866,0.8189,0.0121,0.0,0.2069,0.1667,0.2083,0.0452,0.077,0.0889,0.0,0.0,0.0687,0.0,0.0,0.0,0.0,-810.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,6,1,1,1,1,10,4,35,2,0,4,0
8303,1,157500.0,410476.5,29322.0,373500.0,0.010147,-15619,-2576,-10807.0,-4314,0.0,1,1,0,1,1,0,3.0,2,2,18,0,0,0,0,0,0,0.6601246526308079,0.6918448212941872,0.4241303111942548,0.1299,0.0805,0.9851,0.7959999999999999,0.0692,0.12,0.1034,0.3333,0.375,0.0625,0.1059,0.1143,0.0,0.0,0.1324,0.0836,0.9851,0.804,0.0698,0.1208,0.1034,0.3333,0.375,0.0639,0.1157,0.1191,0.0,0.0,0.1312,0.0805,0.9851,0.7987,0.0696,0.12,0.1034,0.3333,0.375,0.0636,0.1077,0.1164,0.0,0.0,0.1277,0.0,0.0,0.0,0.0,-1841.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0,0,0,0,1,6,2,4,1,1,8,4,52,3,0,4,0
8310,0,225000.0,1066320.0,38299.5,900000.0,0.0228,-14162,-2212,-3320.0,-2884,3.0,1,1,1,1,1,0,1.0,2,2,16,0,0,0,0,0,0,0.6083491128513837,0.5462016503077782,0.2151824041847538,0.3031,0.4537,0.9791,0.7144,0.0488,0.24,0.2069,0.3333,0.375,0.0166,0.2421,0.2627,0.0232,0.5443,0.3088,0.4708,0.9791,0.7256,0.0492,0.2417,0.2069,0.3333,0.375,0.0169,0.2645,0.2737,0.0233,0.5762,0.306,0.4537,0.9791,0.7182,0.0491,0.24,0.2069,0.3333,0.375,0.0169,0.2463,0.2674,0.0233,0.5557,0.3516,1.0,0.0,1.0,0.0,-709.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,6,0,1,3,1,10,6,10,2,0,5,0
8312,0,90000.0,118512.0,9360.0,90000.0,0.0060079999999999,-10377,-1342,-4158.0,-3003,7.0,1,1,1,1,1,0,2.0,2,2,14,0,0,0,0,1,1,0.2683625524620444,0.6496457565615936,0.3807996826489149,0.2588,0.1881,0.9886,0.8436,0.0961,0.28,0.2414,0.3333,0.375,0.0808,0.211,0.3031,0.0,0.0,0.2637,0.1952,0.9886,0.8497,0.097,0.282,0.2414,0.3333,0.375,0.0826,0.2305,0.3158,0.0,0.0,0.2613,0.1881,0.9886,0.8457,0.0967,0.28,0.2414,0.3333,0.375,0.0822,0.2146,0.3085,0.0,0.0,0.2909,3.0,1.0,3.0,0.0,-1900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,6,0,1,1,1,0,5,5,3,0,4,0
8314,0,225000.0,1755000.0,72427.5,1755000.0,0.010006,-18636,-301,-10615.0,-2182,4.0,1,1,0,1,1,0,2.0,2,2,13,0,0,0,0,0,0,0.855020661216859,0.3832525485490244,0.0759656813247684,0.1057,0.1224,0.9816,0.7484,0.0525,0.0,0.2241,0.1667,0.2083,0.0624,0.0845,0.1086,0.0077,0.0065,0.105,0.1126,0.9796,0.7321,0.0255,0.0,0.2069,0.1667,0.2083,0.0421,0.0882,0.0931,0.0,0.0,0.1067,0.1224,0.9816,0.7518,0.0528,0.0,0.2241,0.1667,0.2083,0.0635,0.0859,0.1105,0.0078,0.0066,0.0731,4.0,0.0,4.0,0.0,-2121.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,6,2,4,1,1,14,1,5,2,0,4,0
8329,0,157500.0,585000.0,24916.5,585000.0,0.020713,-14061,-6228,-5782.0,-4241,2.0,1,1,0,1,0,0,2.0,3,2,11,0,0,0,0,0,0,0.0353498989016468,0.6222920350945638,0.3774042489507649,0.0082,0.0,0.9717,0.6124,0.0006,0.0,0.069,0.0417,0.0833,0.0049,0.0067,0.0055,0.0,0.0,0.0084,0.0,0.9717,0.6276,0.0006,0.0,0.069,0.0417,0.0833,0.005,0.0073,0.0057,0.0,0.0,0.0083,0.0,0.9717,0.6176,0.0006,0.0,0.069,0.0417,0.0833,0.005,0.0068,0.0056,0.0,0.0,0.0046,0.0,0.0,0.0,0.0,-1818.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,6,1,4,1,2,8,1,49,0,0,0,0
8346,0,157500.0,630000.0,30438.0,630000.0,0.028663,-13611,-4586,-7274.0,-4985,17.0,1,1,0,1,0,0,2.0,2,2,9,0,0,0,0,0,0,0.419104748724421,0.458157946722647,0.7062051096536562,0.1289,0.1342,0.9826,0.762,0.0193,0.0,0.3103,0.1667,0.2083,0.0858,0.1042,0.1251,0.0039,0.0023,0.1313,0.1393,0.9826,0.7713,0.0194,0.0,0.3103,0.1667,0.2083,0.0878,0.1139,0.1303,0.0039,0.0024,0.1301,0.1342,0.9826,0.7652,0.0194,0.0,0.3103,0.1667,0.2083,0.0873,0.106,0.1273,0.0039,0.0023,0.112,0.0,0.0,0.0,0.0,-36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,0,1,6,0,1,1,1,12,2,38,2,0,5,0
8388,1,135000.0,351792.0,17055.0,252000.0,0.0096569999999999,-10169,-1771,-9389.0,-2558,3.0,1,1,0,1,0,0,3.0,2,2,12,0,0,0,0,0,0,0.093737132326173,0.3408133357236175,0.1929422277169508,0.2691,0.1636,0.9871,0.8232,0.0605,0.28,0.2414,0.3333,0.375,0.1392,0.2118,0.274,0.0347,0.0,0.2742,0.1698,0.9871,0.8301,0.061,0.282,0.2414,0.3333,0.375,0.1424,0.2314,0.2854,0.035,0.0,0.2717,0.1636,0.9871,0.8256,0.0608,0.28,0.2414,0.3333,0.375,0.1416,0.2155,0.279,0.0349,0.0,0.2401,0.0,0.0,0.0,0.0,-1891.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,6,2,4,1,5,8,4,38,2,0,4,0
8428,1,270000.0,991899.0,50773.5,814500.0,0.04622,-15313,-120,-3898.0,-4485,1.0,1,1,0,1,1,1,3.0,1,1,18,0,1,1,1,1,1,0.4274424263180805,0.7169583156199364,0.511891801533151,0.0825,0.0796,0.9752,0.66,0.0,0.0,0.1379,0.1667,0.2083,0.0421,0.0672,0.0476,0.0,0.0,0.084,0.0826,0.9752,0.6733,0.0,0.0,0.1379,0.1667,0.2083,0.043,0.0735,0.0496,0.0,0.0,0.0833,0.0796,0.9752,0.6645,0.0,0.0,0.1379,0.1667,0.2083,0.0428,0.0684,0.0484,0.0,0.0,0.0557,0.0,0.0,0.0,0.0,-4164.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,6,1,1,1,1,3,1,10,3,0,4,0
8430,1,135000.0,450000.0,24412.5,450000.0,0.014464,-11875,-3997,-5286.0,-3830,18.0,1,1,0,1,0,1,2.0,2,2,7,0,0,0,0,0,0,0.4781963215234681,0.5808732838292745,0.7738956942145427,0.0619,0.0607,0.9871,0.8232,0.0,0.0,0.1379,0.1667,0.2083,0.0454,0.0504,0.0582,0.0,0.0,0.063,0.0629,0.9871,0.8301,0.0,0.0,0.1379,0.1667,0.2083,0.0465,0.0551,0.0606,0.0,0.0,0.0625,0.0607,0.9871,0.8256,0.0,0.0,0.1379,0.1667,0.2083,0.0462,0.0513,0.0592,0.0,0.0,0.0458,1.0,0.0,1.0,0.0,-455.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,6,2,4,3,5,4,1,12,2,0,4,0
8436,1,180000.0,430420.5,45328.5,387000.0,0.020246,-19398,-2151,-6523.0,-2919,9.0,1,1,0,1,1,0,3.0,3,3,8,0,0,0,0,0,0,0.5244069766194694,0.2174105885601922,0.6380435278721609,0.2464,0.1047,0.9762,0.6736,0.1031,0.0,0.5517,0.1667,0.2083,0.1794,0.2,0.1578,0.0039,0.001,0.2511,0.1086,0.9762,0.6864,0.1041,0.0,0.5517,0.1667,0.2083,0.1835,0.2185,0.1644,0.0039,0.001,0.2488,0.1047,0.9762,0.6779999999999999,0.1038,0.0,0.5517,0.1667,0.2083,0.1825,0.2035,0.1606,0.0039,0.001,0.1807,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0,1,0,1,5,2,4,1,1,4,1,3,2,0,4,0
8454,0,157500.0,675000.0,25578.0,675000.0,0.028663,-12689,-4389,-1718.0,-4539,6.0,1,1,0,1,0,0,2.0,2,2,14,0,0,0,0,0,0,0.1369379783432092,0.643960830127239,0.3360615207658242,0.0165,0.0,0.9886,0.8436,0.0021,0.0,0.069,0.1667,0.2083,0.0268,0.0134,0.0173,0.0,0.0,0.0168,0.0,0.9886,0.8497,0.0021,0.0,0.069,0.1667,0.2083,0.0274,0.0147,0.018,0.0,0.0,0.0167,0.0,0.9886,0.8457,0.0021,0.0,0.069,0.1667,0.2083,0.0273,0.0137,0.0176,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0,1,0,0,1,2,4,1,1,10,4,30,2,0,5,0
8458,1,270000.0,247500.0,29502.0,247500.0,0.018209,-16058,-4493,-2787.0,-4495,8.0,1,1,0,1,0,0,3.0,3,3,13,0,0,0,0,0,0,0.2875104536278293,0.47057482397512,0.6658549219640212,0.0866,0.1399,0.995,0.932,0.0651,0.0,0.1724,0.2083,0.2083,0.1011,0.0656,0.1425,0.0232,0.0687,0.0882,0.1452,0.995,0.9347,0.0657,0.0,0.1724,0.2083,0.2083,0.1034,0.0716,0.1485,0.0233,0.0727,0.0874,0.1399,0.995,0.9329,0.0655,0.0,0.1724,0.2083,0.2083,0.1028,0.0667,0.1451,0.0233,0.0702,0.1626,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,6,0,1,1,1,3,0,26,2,0,5,0
